data,setmana,model,comissio_setmana,comissio_acumulada
2026-07-27,8,gpt,1.4,1.4
2026-07-27,8,claude,0.0,0.0
2026-07-27,8,gemini,1.43,1.43
2026-07-27,8,deepseek,3.34,3.34
2026-07-27,8,mistral,4.11,4.11
2026-07-29,9,gpt,1.29,2.69
2026-07-29,9,claude,0.0,0.0
2026-07-29,9,gemini,0.48,1.91
2026-07-29,9,deepseek,1.9,5.24
2026-07-29,9,mistral,2.37,6.48
2026-07-30,10,gpt,0.45,3.14
2026-07-30,10,claude,0.0,0.0
2026-07-30,10,gemini,0.0,1.91
2026-07-30,10,deepseek,0.0,5.24
2026-07-30,10,mistral,1.92,8.4
2026-08-03,11,gpt,2.0,5.14
2026-08-03,11,claude,3.8,3.8
2026-08-03,11,gemini,5.04,6.95
2026-08-03,11,deepseek,9.51,14.75
2026-08-03,11,mistral,1.2,9.6
2026-08-10,12,gpt,2.27,7.41
2026-08-10,12,claude,0.0,3.8
2026-08-10,12,gemini,2.0,8.95
2026-08-10,12,deepseek,4.11,18.86
2026-08-10,12,mistral,2.53,12.13
2026-08-17,13,gpt,2.19,9.6
2026-08-17,13,claude,2.0,5.8
2026-08-17,13,gemini,3.4,12.35
2026-08-17,13,deepseek,1.2,20.06
2026-08-17,13,mistral,1.8,13.93
