model,ticker,nom,tipus,sector,pais,unitats,valor,pes
gpt,SPY,S&P 500 (SPDR),etf,Índexs principals,Global,2.388485,1547.9,15.98
gpt,VGK,Europa (Vanguard),etf,Mercats internacionals,Global,9.804405,770.52,7.96
gpt,GLD,Or físic (SPDR),etf,Metalls preciosos,Global,4.547001,1465.6,15.13
gpt,TLT,Bons EUA 20+ anys,etf,Renda fixa,Global,15.551568,1109.67,11.46
gpt,QQQ,Nasdaq 100,etf,Índexs principals,Global,5.146374,3071.62,31.72
gpt,SMH,Semiconductors (VanEck),etf,IA i semiconductors,Global,1.634366,766.4,7.91
gpt,TIP,Bons lligats a la inflació,etf,Renda fixa,Global,3.7961,354.45,3.66
gpt,IGV,Programari EUA,etf,Tecnologia,Global,7.297925,598.8,6.18
claude,SPY,S&P 500 (SPDR),etf,Índexs principals,Global,3.037373,1968.43,20.24
claude,VGK,Europa (Vanguard),etf,Mercats internacionals,Global,25.685422,2018.6,20.75
claude,GLD,Or físic (SPDR),etf,Metalls preciosos,Global,6.004107,1935.25,19.89
claude,TLT,Bons EUA 20+ anys,etf,Renda fixa,Global,0.295246,21.07,0.22
claude,QQQ,Nasdaq 100,etf,Índexs principals,Global,3.163661,1888.23,19.41
claude,IEF,Bons EUA 7-10 anys,etf,Renda fixa,Global,23.515342,1896.2,19.49
gemini,EFECTIU,Efectiu,efectiu,Efectiu,—,40.43702,40.44,0.42
gemini,SPY,S&P 500 (SPDR),etf,Índexs principals,Global,3.030408,1963.92,20.23
gemini,VGK,Europa (Vanguard),etf,Mercats internacionals,Global,25.626522,2013.97,20.75
gemini,VTI,Mercat total EUA,etf,Índexs principals,Global,4.609427,1472.4,15.17
gemini,USMV,Mínima volatilitat EUA,etf,Defensius,Global,14.765509,1254.43,12.92
gemini,XLP,Consum bàsic EUA,etf,Defensius,Global,6.295217,464.48,4.78
gemini,MSFT,Microsoft,accio,Tecnologia,EUA,3.097422,1248.75,12.86
gemini,AMZN,Amazon,accio,Consum,EUA,5.300221,1248.75,12.86
deepseek,EFECTIU,Efectiu,efectiu,Efectiu,—,8.787757,8.79,0.09
deepseek,SPY,S&P 500 (SPDR),etf,Índexs principals,Global,5.978977,3874.79,40.01
deepseek,VGK,Europa (Vanguard),etf,Mercats internacionals,Global,25.6904,2018.99,20.85
deepseek,QQQ,Nasdaq 100,etf,Índexs principals,Global,4.753287,2837.0,29.3
deepseek,VIG,Dividends creixents (Vanguard),etf,Dividends,Global,4.552522,944.59,9.75
mistral,SPY,S&P 500 (SPDR),etf,Índexs principals,Global,2.82448,1830.46,19.09
mistral,VGK,Europa (Vanguard),etf,Mercats internacionals,Global,8.056937,633.19,6.6
mistral,GLD,Or físic (SPDR),etf,Metalls preciosos,Global,1.120437,361.14,3.77
mistral,TLT,Bons EUA 20+ anys,etf,Renda fixa,Global,6.021949,429.69,4.48
mistral,SMH,Semiconductors (VanEck),etf,IA i semiconductors,Global,1.335396,626.2,6.53
mistral,EWJ,Japó,etf,Mercats internacionals,Global,4.599686,368.67,3.84
mistral,IEF,Bons EUA 7-10 anys,etf,Renda fixa,Global,12.440926,1003.2,10.46
mistral,USMV,Mínima volatilitat EUA,etf,Defensius,Global,8.300175,705.16,7.35
mistral,XLE,Energia EUA,etf,Energia,Global,5.760182,297.58,3.1
mistral,VHT,Sanitat (Vanguard),etf,Salut,Global,3.36638,890.18,9.28
mistral,XLV,Salut EUA,etf,Salut,Global,2.108227,297.3,3.1
mistral,VIG,Dividends creixents (Vanguard),etf,Dividends,Global,2.540433,527.11,5.5
mistral,XLP,Consum bàsic EUA,etf,Defensius,Global,4.567296,336.99,3.51
mistral,NESN.SW,Nestlé,accio,Consum,Suïssa,6.568681,568.65,5.93
mistral,PG,Procter & Gamble,accio,Consum,EUA,2.616345,327.96,3.42
mistral,LLY,Eli Lilly,accio,Salut,EUA,0.088513,88.22,0.92
mistral,ADBE,Adobe,accio,Tecnologia,EUA,0.91881,199.6,2.08
mistral,BABA,Alibaba,accio,Consum,Xina,0.941019,99.8,1.04
