data_cobrament,data_pagament,model,ticker,import_eur
2026-09-07,2026-09-01,mistral,BIL,0.0
2026-09-07,2026-09-01,claude,IEF,3.21
2026-09-07,2026-09-01,mistral,IEF,2.12
2026-09-07,2026-09-01,gemini,TLT,0.0
2026-09-14,2026-09-10,gpt,NVDA,0.87
2026-09-14,2026-09-10,gemini,NVDA,0.27
2026-09-14,2026-09-10,deepseek,NVDA,1.14
2026-09-14,2026-09-10,mistral,NVDA,0.15
2026-09-21,2026-09-15,gpt,IBB,0.0
2026-09-21,2026-09-15,gpt,SOXX,0.25
2026-09-21,2026-09-18,gpt,SPY,3.92
2026-09-21,2026-09-18,claude,SPY,4.99
2026-09-21,2026-09-18,gemini,SPY,3.47
2026-09-21,2026-09-18,deepseek,SPY,4.6
2026-09-21,2026-09-18,mistral,SPY,4.64
2026-09-21,2026-09-18,index,SPY,25.0
2026-09-21,2026-09-15,gemini,USMV,3.35
2026-09-21,2026-09-15,mistral,USMV,4.01
2026-09-21,2026-09-18,claude,VGK,4.96
2026-09-21,2026-09-18,gemini,VGK,2.53
2026-09-21,2026-09-18,mistral,VGK,1.07
