data,model,valor
2026-07-27,gpt,9762.6
2026-07-27,claude,9822.12
2026-07-27,gemini,9792.32
2026-07-27,deepseek,9816.48
2026-07-27,mistral,9704.14
2026-07-27,index,9855.47
2026-07-28,gpt,9682.19
2026-07-28,claude,9788.17
2026-07-28,gemini,9796.01
2026-07-28,deepseek,9774.46
2026-07-28,mistral,9728.31
2026-07-28,index,9901.25
2026-07-29,gpt,9476.46
2026-07-29,claude,9616.57
2026-07-29,gemini,9651.09
2026-07-29,deepseek,9647.29
2026-07-29,mistral,9608.92
2026-07-29,index,9734.27
2026-07-30,gpt,9662.26
2026-07-30,claude,9735.42
2026-07-30,gemini,9708.66
2026-07-30,deepseek,9726.91
2026-07-30,mistral,9600.02
2026-07-30,index,9827.82
2026-07-31,gpt,9671.2
2026-07-31,claude,9715.76
2026-07-31,gemini,9696.39
2026-07-31,deepseek,9677.91
2026-07-31,mistral,9589.49
2026-07-31,index,9850.23
2026-08-03,gpt,9783.79
2026-08-03,claude,9792.43
2026-08-03,gemini,9884.9
2026-08-03,deepseek,9798.26
2026-08-03,mistral,9627.28
2026-08-03,index,9972.79
